name,frames,litspercls,ctis,queries,time,stdev
counters2.aig,5,5.72262,11,211,0.05861,0.00259
counters2\_neg.aig,2,2.00000,1,31,0.00585,0.00086
counters3.aig,12,26.13421,73,"1,352",1.72417,0.00600
counters3\_neg.aig,1,1.00000,0,2,0.00123,0.00019
counters4.aig,20,60.34633,896,"10,668",59.06552,0.15048
simple1.aag,0,0.00000,0,1,0.00016,0.00002
simple2.aag,1,1.00000,0,3,0.00033,0.00006
simple3.aag,3,1.00000,0,10,0.00092,0.00018
simple4.aag,2,1.00000,0,7,0.00092,0.00004
simple5.aag,0,0.00000,0,1,0.00019,0.00003
simple6.aag,0,0.00000,0,1,0.00019,0.00003
simple7.aag,1,1.00000,0,2,0.00054,0.00010
simple\_counters.aig,3,2.62500,7,"1,134",1.30204,0.00347
simpler\_counters.aig,2,2.33333,2,44,0.00676,0.00012
bj08aut1.aig,1,1.00000,0,6,0.00866,0.00035
bj08aut5.aig,1,1.00000,0,6,0.02659,0.00040
bj08goodbakerycyclef7.aig,1,1.00000,0,2,0.56561,0.00302
neclaftp5001.aig,5,1.00000,0,98,0.34280,0.00143
neclaftp5002.aig,5,1.00000,0,98,0.34098,0.00198
pdtvisblackjack0.aig,1,1.00000,0,107,4.93599,0.02093
pdtvisblackjack1.aig,1,1.00000,0,107,4.94018,0.01704
pdtvisblackjack2.aig,1,1.00000,0,107,4.94647,0.01987
pdtvisblackjack3.aig,1,1.00000,0,107,4.97260,0.04372
pdtvisblackjack4.aig,1,1.00000,0,107,4.99169,0.01656
pdtvisbpb1.aig,5,1.00000,0,227,4.44190,0.01190
pdtvisgray0.aig,3,1.00000,0,16,0.00482,0.00056
pdtvisgray1.aig,3,1.00000,0,16,0.00397,0.00050
pdtvisheap04.aig,5,1.00000,0,80,1.26738,0.00431
pdtvisheap07.aig,5,1.00000,0,80,1.26758,0.00429
pdtvisheap11.aig,5,1.00000,0,80,1.26100,0.01465
pdtvishuffman2.aig,11,1.00000,0,505,6.97372,0.10439
pdtvishuffman5.aig,0,0.00000,0,1,0.01429,0.00042
pdtvisrethersqo3.aig,0,0.00000,0,1,0.01127,0.00083
pdtvistictactoe00.aig,4,1.00000,0,70,0.82004,0.00389
pdtvistictactoe01.aig,0,0.00000,0,1,0.01251,0.00075
pdtvistictactoe03.aig,0,0.00000,0,1,0.01254,0.00076
pdtvistictactoe04.aig,0,0.00000,0,1,0.01267,0.00087
pdtvistictactoe05.aig,0,0.00000,0,1,0.01254,0.00085
pdtvistictactoe06.aig,0,0.00000,0,1,0.01256,0.00087
pdtvistictactoe07.aig,0,0.00000,0,1,0.01267,0.00093
pdtvistictactoe08.aig,0,0.00000,0,1,0.01269,0.00085
pdtvistictactoe09.aig,0,0.00000,0,1,0.01252,0.00080
pdtvistictactoe11.aig,4,1.00000,0,70,0.84943,0.01721
pdtvistictactoe12.aig,4,1.00000,0,70,0.83579,0.01043
pdtvistwo0.aig,2,1.00000,0,59,0.31650,0.00550
pdtvistwo1.aig,2,1.00000,0,59,0.30160,0.00407
pdtvisvending03.aig,6,1.00000,0,87,1.17120,0.01330
pdtvisvending06.aig,6,1.00000,0,87,1.16194,0.00973
pdtvisvsar02.aig,7,1.00000,0,538,16.55710,0.37338
pdtvisvsar18.aig,7,1.00000,0,538,16.84172,0.12671
shortp0.aig,3,28.96396,59,414,0.76302,0.00649
shortp0neg.aig,2,1.00000,1,20,0.02395,0.00100
srg5ptimoneg.aig,2,1.00000,1,53,0.22922,0.00383
texasifetch1p1.aig,7,1.00000,0,172,1.48502,0.01351
texasifetch1p3.aig,7,1.00000,0,172,1.48269,0.01277
viselevatorp1.aig,5,1.00000,0,81,1.27678,0.01560
6s40p1.aig,0,0.00000,0,1,0.51010,0.00271
6s40p2.aig,0,0.00000,0,1,0.53924,0.04520
bobmiterbm1or.aig,0,0.00000,0,1,0.04803,0.00122
bobsynth00neg.aig,0,0.00000,0,1,0.25376,0.00724
bobtuint06.aig,0,0.00000,0,1,0.03255,0.00073
pdtpmstwo.aig,2,1.00000,0,200,2.37140,0.14902
pdtvsar8multip24.aig,7,1.00000,0,805,94.31110,2.31667
pdtvsar8multip26.aig,7,1.00000,0,805,96.83664,1.36990
