name,frames,litspercls,ctis,queries,time,stdev
counters2.aig,5,2.14667,9,117,0.03739,0.00163
counters2\_neg.aig,2,1.00000,1,11,0.00212,0.00021
counters3.aig,14,4.77747,84,1067,1.64834,0.00713
counters3\_neg.aig,1,1.00000,0,2,0.00140,0.00022
counters4.aig,20,7.41489,740,7238,31.82758,0.09015
simple1.aag,0,0.00000,0,1,0.00015,0.00002
simple2.aag,1,1.00000,0,3,0.00029,0.00003
simple3.aag,3,1.00000,0,10,0.00054,0.00005
simple4.aag,2,1.00000,0,7,0.00093,0.00003
simple5.aag,0,0.00000,0,1,0.00017,0.00002
simple6.aag,0,0.00000,0,1,0.00018,0.00003
simple7.aag,1,1.00000,0,2,0.00050,0.00004
simple\_counters.aig,3,1.53333,4,59,0.09522,0.00108
simpler\_counters.aig,2,1.00000,1,17,0.00260,0.00005
bj08aut1.aig,1,1.00000,0,6,0.00879,0.00018
bj08aut5.aig,1,1.00000,0,6,0.02692,0.00053
bj08goodbakerycyclef7.aig,1,1.00000,0,2,0.56773,0.00299
neclaftp5001.aig,5,1.00000,0,98,0.35171,0.00227
neclaftp5002.aig,5,1.00000,0,98,0.34885,0.00172
pdtvisblackjack0.aig,1,1.00000,0,107,5.00528,0.02396
pdtvisblackjack1.aig,1,1.00000,0,107,5.01390,0.01967
pdtvisblackjack2.aig,1,1.00000,0,107,5.01015,0.01743
pdtvisblackjack3.aig,1,1.00000,0,107,5.02559,0.01869
pdtvisblackjack4.aig,1,1.00000,0,107,5.00053,0.01562
pdtvisbpb1.aig,5,1.00000,0,227,4.43402,0.01480
pdtvisgray0.aig,3,1.00000,0,16,0.00493,0.00033
pdtvisgray1.aig,3,1.00000,0,16,0.00398,0.00046
pdtvisheap04.aig,5,1.00000,0,80,1.27575,0.06627
pdtvisheap07.aig,5,1.00000,0,80,1.27072,0.00582
pdtvisheap11.aig,5,1.00000,0,80,1.26885,0.00558
pdtvishuffman2.aig,11,1.00000,0,505,7.05033,0.02206
pdtvishuffman5.aig,0,0.00000,0,1,0.01441,0.00049
pdtvisrethersqo3.aig,0,0.00000,0,1,0.01165,0.00096
pdtvistictactoe00.aig,4,1.00000,0,70,0.83900,0.00810
pdtvistictactoe01.aig,0,0.00000,0,1,0.01269,0.00075
pdtvistictactoe03.aig,0,0.00000,0,1,0.01276,0.00088
pdtvistictactoe04.aig,0,0.00000,0,1,0.01276,0.00094
pdtvistictactoe05.aig,0,0.00000,0,1,0.01273,0.00092
pdtvistictactoe06.aig,0,0.00000,0,1,0.01262,0.00083
pdtvistictactoe07.aig,0,0.00000,0,1,0.01285,0.00097
pdtvistictactoe08.aig,0,0.00000,0,1,0.01269,0.00088
pdtvistictactoe09.aig,0,0.00000,0,1,0.01285,0.00096
pdtvistictactoe11.aig,4,1.00000,0,70,0.85572,0.00833
pdtvistictactoe12.aig,4,1.00000,0,70,0.86233,0.02433
pdtvistwo0.aig,2,1.00000,0,59,0.32304,0.00296
pdtvistwo1.aig,2,1.00000,0,59,0.30760,0.00584
pdtvisvending03.aig,6,1.00000,0,87,1.19141,0.01042
pdtvisvending06.aig,6,1.00000,0,87,1.18719,0.02535
pdtvisvsar02.aig,7,1.00000,0,538,16.59943,0.09582
pdtvisvsar18.aig,7,1.00000,0,538,16.86875,0.06693
shortp0.aig,3,1.77778,3,49,0.11769,0.00225
shortp0neg.aig,2,1.00000,1,21,0.02666,0.00120
srg5ptimoneg.aig,2,1.00000,1,54,0.24075,0.00658
texasifetch1p1.aig,7,1.00000,0,172,1.52927,0.01564
texasifetch1p3.aig,7,1.00000,0,172,1.52518,0.01259
viselevatorp1.aig,5,1.00000,0,81,1.31455,0.01441
6s40p1.aig,0,0.00000,0,1,0.50789,0.00254
6s40p2.aig,0,0.00000,0,1,0.50274,0.00295
bobmiterbm1or.aig,0,0.00000,0,1,0.04754,0.00100
bobsynth00neg.aig,0,0.00000,0,1,0.27934,0.01959
bobtuint06.aig,0,0.00000,0,1,0.04026,0.00657
pdtpmstwo.aig,2,1.00000,0,200,2.32845,0.12187
pdtvsar8multip24.aig,7,1.00000,0,805,98.40888,1.53823
pdtvsar8multip26.aig,7,1.00000,0,805,98.98892,1.46676
6s318r.aig,2,1.00000,1,673,28.77465,1.03627
counterp0.aig,4,5.39063,20,254,0.48499,0.00247
counterp0neg.aig,4,5.60938,22,282,0.44950,0.00226
pdtvishuffman7.aig,5,1.01539,9,365,5.52972,0.05578
pdtvismiim3.aig,12,1.36531,7,677,10.78374,0.04258
srg5ptimo.aig,3,4.76389,23,260,0.90162,0.01239
