name,frames,litspercls,ctis,ctgs,queries,time,stdev
counters2.aig,5,1.99429,10,8,449,0.09618,0.00159
counters2\_neg.aig,2,1.00000,1,0,11,0.00219,0.00036
counters3.aig,21,4.39466,91,242,15225,6.51102,0.01537
counters3\_neg.aig,1,1.00000,0,0,2,0.00123,0.00023
counters4.aig,24,5.74920,361,683,72170,83.56571,2.59036
simple1.aag,0,0.00000,0,0,1,0.00017,0.00005
simple2.aag,1,1.00000,0,0,3,0.00030,0.00003
simple3.aag,3,1.00000,0,0,10,0.00070,0.00034
simple4.aag,2,1.00000,0,0,7,0.00120,0.00023
simple5.aag,0,0.00000,0,0,1,0.00020,0.00003
simple6.aag,0,0.00000,0,0,1,0.00023,0.00005
simple7.aag,1,1.00000,0,0,2,0.00063,0.00012
simple\_counters.aig,3,1.00000,5,11,1430,1.40536,0.14380
simpler\_counters.aig,2,1.00000,1,0,16,0.00334,0.00065
bj08aut1.aig,1,1.00000,0,0,6,0.00949,0.00077
bj08aut5.aig,1,1.00000,0,0,6,0.03042,0.00291
bj08goodbakerycyclef7.aig,1,1.00000,0,0,2,0.60639,0.03626
neclaftp5001.aig,5,1.00000,0,0,98,0.39299,0.02680
neclaftp5002.aig,5,1.00000,0,0,98,0.39532,0.03351
pdtvisblackjack0.aig,1,1.00000,0,0,107,5.36670,0.26220
pdtvisblackjack1.aig,1,1.00000,0,0,107,5.40568,0.25771
pdtvisblackjack2.aig,1,1.00000,0,0,107,5.31258,0.18390
pdtvisblackjack3.aig,1,1.00000,0,0,107,5.36394,0.20737
pdtvisblackjack4.aig,1,1.00000,0,0,107,5.31176,0.19112
pdtvisbpb1.aig,5,1.00000,0,0,227,4.82792,0.21683
pdtvisgray0.aig,3,1.00000,0,0,16,0.00565,0.00066
pdtvisgray1.aig,3,1.00000,0,0,16,0.00751,0.00271
pdtvisheap04.aig,5,1.00000,0,0,80,1.33627,0.06150
pdtvisheap07.aig,5,1.00000,0,0,80,1.37171,0.08407
pdtvisheap11.aig,5,1.00000,0,0,80,1.37770,0.09415
pdtvishuffman2.aig,11,1.00000,0,0,505,7.52349,0.32952
pdtvishuffman5.aig,0,0.00000,0,0,1,0.01660,0.00243
pdtvisrethersqo3.aig,0,0.00000,0,0,1,0.01162,0.00095
pdtvistictactoe00.aig,4,1.00000,0,0,70,0.83136,0.01176
pdtvistictactoe01.aig,0,0.00000,0,0,1,0.01277,0.00085
pdtvistictactoe03.aig,0,0.00000,0,0,1,0.01280,0.00087
pdtvistictactoe04.aig,0,0.00000,0,0,1,0.01256,0.00070
pdtvistictactoe05.aig,0,0.00000,0,0,1,0.01269,0.00084
pdtvistictactoe06.aig,0,0.00000,0,0,1,0.01273,0.00093
pdtvistictactoe07.aig,0,0.00000,0,0,1,0.01283,0.00066
pdtvistictactoe08.aig,0,0.00000,0,0,1,0.01294,0.00106
pdtvistictactoe09.aig,0,0.00000,0,0,1,0.01274,0.00092
pdtvistictactoe11.aig,4,1.00000,0,0,70,0.85269,0.01186
pdtvistictactoe12.aig,4,1.00000,0,0,70,0.84277,0.01139
pdtvistwo0.aig,2,1.00000,0,0,59,0.31924,0.00617
pdtvistwo1.aig,2,1.00000,0,0,59,0.30470,0.00621
pdtvisvending03.aig,6,1.00000,0,0,87,1.17390,0.01523
pdtvisvending06.aig,6,1.00000,0,0,87,1.16157,0.01636
pdtvisvsar02.aig,7,1.00000,0,0,538,16.42766,0.06902
pdtvisvsar18.aig,7,1.00000,0,0,538,16.80929,0.08084
shortp0.aig,3,1.77778,3,0,57,1.95699,0.03510
shortp0neg.aig,2,1.00000,1,0,21,0.02501,0.00124
srg5ptimoneg.aig,2,1.00000,1,0,54,0.23244,0.00545
texasifetch1p1.aig,7,1.00000,0,0,172,1.48538,0.02581
texasifetch1p3.aig,7,1.00000,0,0,172,1.47737,0.02139
viselevatorp1.aig,5,1.00000,0,0,81,1.27517,0.01586
6s40p1.aig,0,0.00000,0,0,1,0.52503,0.01524
6s40p2.aig,0,0.00000,0,0,1,0.51529,0.00512
bobmiterbm1or.aig,0,0.00000,0,0,1,0.04958,0.00102
bobsynth00neg.aig,0,0.00000,0,0,1,0.25659,0.00158
bobtuint06.aig,0,0.00000,0,0,1,0.03285,0.00073
pdtpmstwo.aig,2,1.00000,0,0,200,2.18252,0.00804
pdtvsar8multip24.aig,7,1.00000,0,0,805,91.90440,0.54409
pdtvsar8multip26.aig,7,1.00000,0,0,805,93.45550,0.72848
6s318r.aig,2,1.00000,1,0,673,28.21434,0.16409
counterp0.aig,4,10.13051,20,85,7286,17.87033,0.73647
counterp0neg.aig,4,10.48611,23,130,10834,22.38433,0.67397
pdtvishuffman7.aig,5,1.01539,9,9,8443,153.77111,2.98684
pdtvismiim3.aig,12,1.45424,4,23,15933,28.40033,0.23470
srg5ptimo.aig,3,4.27536,56,240,61482,1.47170,0.01905
