name,frames,litspercls,ctis,queries,time,stdev
counters2.aig,4,2.94201,6,116,0.06452,0.00453
counters2\_neg.aig,2,1.16667,2,22,0.00385,0.00018
counters3.aig,5,6.39181,45,1117,11.99356,0.12766
counters3\_neg.aig,1,1.00000,1,5,0.00260,0.00012
counters4.aig,6,8.32578,113,3119,25.97405,0.07161
simple1.aag,0,0.00000,0,1,0.00014,0.00001
simple2.aag,1,1.00000,0,3,0.00031,0.00002
simple3.aag,3,1.00000,0,10,0.00064,0.00004
simple4.aag,2,1.00000,0,7,0.00116,0.00002
simple5.aag,0,0.00000,0,1,0.00019,0.00002
simple6.aag,0,0.00000,0,1,0.00018,0.00002
simple7.aag,1,1.00000,1,5,0.00110,0.00002
simple\_counters.aig,3,3.26111,7,90,0.29290,0.00215
simpler\_counters.aig,2,1.00000,1,15,0.00279,0.00008
bj08aut1.aig,1,1.00000,0,6,0.00871,0.00010
bj08aut5.aig,1,1.00000,0,6,0.02802,0.00109
bj08goodbakerycyclef7.aig,1,1.00000,1,5,9.65093,0.30866
neclaftp5001.aig,5,1.00000,0,98,0.42721,0.02481
neclaftp5002.aig,5,1.00000,0,98,0.42939,0.02758
pdtvisblackjack0.aig,1,1.00000,0,107,5.27433,0.15706
pdtvisblackjack1.aig,1,1.00000,0,107,5.35653,0.14178
pdtvisblackjack2.aig,1,1.00000,0,107,5.30165,0.18996
pdtvisblackjack3.aig,1,1.00000,0,107,5.40703,0.20540
pdtvisblackjack4.aig,1,1.00000,0,107,5.25143,0.20057
pdtvisbpb1.aig,5,1.00000,0,227,8.91668,0.21769
pdtvisgray0.aig,3,1.00000,0,16,0.00516,0.00040
pdtvisgray1.aig,3,1.00000,0,16,0.00419,0.00039
pdtvisheap04.aig,5,1.00000,0,80,2.12859,0.08487
pdtvisheap07.aig,5,1.00000,0,80,2.18151,0.11410
pdtvisheap11.aig,5,1.00000,0,80,2.18870,0.09766
pdtvishuffman2.aig,11,1.00000,0,505,16.37136,0.42377
pdtvishuffman5.aig,0,0.00000,0,1,0.01701,0.00276
pdtvisrethersqo3.aig,0,0.00000,0,1,0.01225,0.00128
pdtvistictactoe00.aig,4,1.00000,0,70,1.43449,0.09377
pdtvistictactoe01.aig,0,0.00000,0,1,0.01548,0.00352
pdtvistictactoe03.aig,0,0.00000,0,1,0.01387,0.00160
pdtvistictactoe04.aig,0,0.00000,0,1,0.01351,0.00094
pdtvistictactoe05.aig,0,0.00000,0,1,0.01328,0.00080
pdtvistictactoe06.aig,0,0.00000,0,1,0.01353,0.00145
pdtvistictactoe07.aig,0,0.00000,0,1,0.01575,0.00404
pdtvistictactoe08.aig,0,0.00000,0,1,0.01272,0.00027
pdtvistictactoe09.aig,0,0.00000,0,1,0.01459,0.00232
pdtvistictactoe11.aig,4,1.00000,0,70,1.39019,0.07897
pdtvistictactoe12.aig,4,1.00000,0,70,1.41232,0.09649
pdtvistwo0.aig,2,1.00000,0,59,0.52194,0.04320
pdtvistwo1.aig,2,1.00000,0,59,0.51802,0.04900
pdtvisvending03.aig,6,1.00000,0,87,2.05030,0.11085
pdtvisvending06.aig,6,1.00000,0,87,2.08996,0.10079
pdtvisvsar02.aig,7,1.00000,0,538,42.31584,0.96840
pdtvisvsar18.aig,7,1.00000,0,528,41.94855,0.15602
shortp0.aig,3,2.22876,3,64,0.07889,0.00147
shortp0neg.aig,2,1.00000,2,38,0.04734,0.00146
srg5ptimoneg.aig,2,1.00000,2,91,0.39672,0.00995
texasifetch1p1.aig,7,1.00000,0,172,2.64989,0.01620
texasifetch1p3.aig,7,1.00000,0,172,2.66928,0.02123
viselevatorp1.aig,5,1.00000,0,81,1.94468,0.01487
6s40p1.aig,0,0.00000,0,1,0.51492,0.01101
6s40p2.aig,0,0.00000,0,1,0.50456,0.00830
bobmiterbm1or.aig,0,0.00000,0,1,0.04771,0.00099
bobsynth00neg.aig,0,0.00000,0,1,0.25048,0.00213
bobtuint06.aig,0,0.00000,0,1,0.03164,0.00052
pdtpmstwo.aig,2,1.00000,0,200,4.07142,0.04582
pdtvsar8multip24.aig,7,1.00000,0,805,260.41858,4.71720
pdtvsar8multip26.aig,7,1.00000,0,805,258.51646,1.77145
6s318r.aig,2,1.00000,2,804,35.26618,0.85674
pdtvishuffman7.aig,5,2.72774,13,487,12.65960,0.39817
srg5ptimo.aig,3,5.69675,7,281,1.73346,0.03948
